"month","month_number","year","blue_etel_as_is","red_etel_as_is","total_etel_as_is","efak_as_is","wuge_as_is","total_as_is","total_yearly_exports_as_is"
"Jan",1,2008,425892,853776,1279668,416589,414571,2313221,26280011
"Feb",2,2008,316631,736694,1053325,472565,344579,1950131,26280011
"Mar",3,2008,353512,1014008,1367520,466539,429907,2346635,26280011
"Apr",4,2008,278711,812014,1090725,370774,379606,2039787,26280011
"May",5,2008,212940,660628,873568,457741,305697,1756964,26280011
"Jun",6,2008,187849,456630,644479,384817,314582,1458302,26280011
"Jul",7,2008,206285,566373,772658,464502,346800,1679637,26280011
"Aug",8,2008,195810,610931,806741,389013,323618,1639670,26280011
"Sep",9,2008,448733,1266532,1715265,508370,578252,2882886,26280011
"Oct",10,2008,403327,1392424,1795751,495598,510031,2959716,26280011
"Nov",11,2008,306171,1212117,1518288,529191,431480,2596494,26280011
"Dec",12,2008,345955,1255369,1601324,441545,489935,2656568,26280011
"Jan",1,2009,407424,1175792,1583216,430055,462768,2610573,29609916
"Feb",2,2009,287654,1119734,1407388,468187,393940,2371327,29609916
"Mar",3,2009,305158,1115643,1420801,648582,458486,2743786,29609916
"Apr",4,2009,255687,885413,1141100,414990,401535,2125308,29609916
"May",5,2009,200068,719792,919860,466329,367847,1850073,29609916
"Jun",6,2009,210118,648758,858876,465775,373210,1836222,29609916
"Jul",7,2009,211668,698466,910134,430988,351526,1797311,29609916
"Aug",8,2009,198472,644578,843050,502499,358676,1851968,29609916
"Sep",9,2009,361703,1619860,1981563,584983,589599,3271171,29609916
"Oct",10,2009,366410,1281524,1647934,506877,501149,2818888,29609916
"Nov",11,2009,350196,1507640,1857836,593705,586040,3310776,29609916
"Dec",12,2009,351651,1263440,1615091,641582,659757,3022513,29609916
"Jan",1,2010,369783,1267682,1637464,508177,525307,2760688,32726772
"Feb",2,2010,345144,1331017,1676161,601115,515202,2918333,32726772
"Mar",3,2010,322695,1226866,1549560,775996,581672,3227041,32726772
"Apr",4,2010,223841,589628,813469,323532,340651,1613888,32726772
"May",5,2010,239441,958960,1198401,672011,565867,2550157,32726772
"Jun",6,2010,240316,899709,1140024,589895,450257,2317645,32726772
"Jul",7,2010,138604,412664,551268,438340,378953,1474144,32726772
"Aug",8,2010,231179,781363,1012542,483363,459746,2148521,32726772
"Sep",9,2010,329090,2006398,2335488,630064,792018,3898571,32726772
"Oct",10,2010,368584,1487680,1856264,608942,616164,3348953,32726772
"Nov",11,2010,320947,1357176,1678123,688055,620973,3135945,32726772
"Dec",12,2010,373302,1325761,1699063,693058,750844,3332886,32726772
"Jan",1,2011,308893,1286374,1595267,778643,507281,3112861,37215503
"Feb",2,2011,282106,1191422,1473528,726254,564342,2926663,37215503
"Mar",3,2011,347124,1122604,1469728,943274,684259,3294784,37215503
"Apr",4,2011,261498,773151,1034650,845136,487103,2577079,37215503
"May",5,2011,217606,734947,952553,1030397,601078,2774068,37215503
"Jun",6,2011,208258,611045,819303,829198,507467,2378227,37215503
"Jul",7,2011,174878,627198,802076,741981,504952,2222900,37215503
"Aug",8,2011,247714,975098,1222812,820385,655479,2991787,37215503
"Sep",9,2011,312012,1991259,2303271,851428,864312,4151531,37215503
"Oct",10,2011,331926,1259658,1591584,873895,636096,3318684,37215503
"Nov",11,2011,389858,1570817,1960675,996616,787231,4037076,37215503
"Dec",12,2011,299115,1414876,1713991,941611,712204,3429843,37215503
"Jan",1,2012,285207,1234541,1519748,849409,545966,3093088,40629676
"Feb",2,2012,450874,1362023,1812897,1021474,632103,3679308,40629676
"Mar",3,2012,360034,1247246,1607280,1034025,619301,3433364,40629676
"Apr",4,2012,252674,755347,1008022,904449,602511,2714899,40629676
"May",5,2012,247734,1044249,1291983,986452,609931,3011767,40629676
"Jun",6,2012,221676,718482,940158,1011487,574084,2726028,40629676
"Jul",7,2012,216918,729011,945929,862239,510154,2483834,40629676
"Aug",8,2012,254993,980154,1235146,1026357,663220,3055655,40629676
"Sep",9,2012,299658,2030676,2330334,898892,827807,4200796,40629676
"Oct",10,2012,457595,1720301,2177895,1079994,824506,4228724,40629676
"Nov",11,2012,388917,1917408,2306324,1259730,855732,4618540,40629676
"Dec",12,2012,303450,1314697,1618147,986962,691108,3383673,40629676
"Jan",1,2013,387497,1722000,2109497,1065097,752685,4119526,45408410
"Feb",2,2013,349013,1389184,1738197,952195,708242,3535744,45408410
"Mar",3,2013,334274,1299670,1633944,1062892,719168,3560974,45408410
"Apr",4,2013,325052,1420039,1745092,1057988,787368,3760065,45408410
"May",5,2013,255416,784033,1039449,1127932,574721,2959933,45408410
"Jun",6,2013,237019,817182,1054201,933365,643629,2787898,45408410
"Jul",7,2013,239047,764120,1003166,1069867,628135,2828744,45408410
"Aug",8,2013,358552,796123,1154675,1020078,718542,3084113,45408410
"Sep",9,2013,359703,2641226,3000929,1049970,923583,5107775,45408410
"Oct",10,2013,427681,1877924,2305605,1197452,934234,4562144,45408410
"Nov",11,2013,434561,1850111,2284672,1283970,886772,4729313,45408410
"Dec",12,2013,348558,1713603,2062160,1280835,948935,4372181,45408410
"Jan",1,2014,NA,NA,NA,NA,NA,4308161,NA
"Feb",2,2014,NA,NA,NA,NA,NA,4155378,NA
"Mar",3,2014,NA,NA,NA,NA,NA,3924332,NA
"Apr",4,2014,NA,NA,NA,NA,NA,3659121,NA
"May",5,2014,NA,NA,NA,NA,NA,3898758,NA
"Jun",6,2014,NA,NA,NA,NA,NA,3313891,NA
"Jul",7,2014,NA,NA,NA,NA,NA,3595106,NA
"Aug",8,2014,NA,NA,NA,NA,NA,3502426,NA
"Sep",9,2014,NA,NA,NA,NA,NA,5619059,NA
"Oct",10,2014,NA,NA,NA,NA,NA,5274287,NA
"Nov",11,2014,NA,NA,NA,NA,NA,4841693,NA
"Dec",12,2014,NA,NA,NA,NA,NA,4664854,NA
