"month","month_number","year","chg_in_export_prices","satisfaction_index_gov","average_temperature","births","satisfaction_index_indep","total_exports_from_urbano","globalisation_party_members","average_export_price","etel_production_price_index","chulwalar_index","inflation","spending_for_chul_days","chul_days","infl_of_chul_days"
"Jan",1,2008,97.4,-0.4,3.6,58519,4.5,5850000,45089,99,100.6,6851.75,2.85,221,0,0
"Feb",2,2008,97.8,-2.9,3.7,53370,4.5,5850000,45089,99.3,99.7,6748.13,2.84,221,0,0
"Mar",3,2008,98.3,-2.7,4.2,52852,4.6,5850000,45089,99.5,99.9,6534.97,3.15,221,1,1
"Apr",4,2008,98.1,1.7,7.6,55048,4.6,5850000,45089,99.2,99.6,6948.82,2.4,221,0,0
"May",5,2008,98.7,-1.7,14.5,57398,5,5850000,45089,99.5,100,7096.79,3.03,221,0,0
"Jun",6,2008,98.9,-2.6,16.9,58313,4.3,5850000,45089,100.2,99.7,6418.32,3.24,221,0,0
"Jul",7,2008,99.5,-7.1,18,63315,3.4,5850000,45089,100.6,100,6479.56,3.32,221,0,0
"Aug",8,2008,99.2,-11.1,17.4,60924,1.8,5850000,45089,100.7,100,6422.3,3.12,221,0,0
"Sep",9,2008,99.1,-9.4,12.4,61263,1.5,5850000,45089,100.8,100.9,5831.02,2.8,221,0,1
"Oct",10,2008,98.9,-13.5,9.1,56857,1.7,5850000,45089,100.2,101.6,4987.97,2.38,221,0,0
"Nov",11,2008,98.4,-18,5.1,51703,1.9,5850000,45089,98.6,101.5,4669.44,1.34,221,0,1
"Dec",12,2008,98.8,-24.7,1.1,52952,2.1,5850000,45089,98,101.6,4810.2,1.13,221,1,1
"Jan",1,2009,98.3,-26.9,-2.2,55155,2.2,5800000,48171,98.5,104.6,4338.35,0.92,226,0,0
"Feb",2,2009,98.9,-28.6,0.5,50087,2.3,5800000,48171,98.4,102.1,3843.74,1.12,226,0,0
"Mar",3,2009,98.7,-31.9,4.3,53692,2.5,5800000,48171,98.2,103.3,4084.76,0.41,226,0,0
"Apr",4,2009,98.8,-30.6,11.83,53177,2.5,5800000,48171,98.4,104.4,4769.45,0.71,226,1,1
"May",5,2009,98.7,-29.8,13.6,54535,2.6,5800000,48171,98,103,4940.82,0,226,0,0
